ℹ️  [info] Waiting for Ollama to be ready... - [2025-08-08 16:20:27]
⚠️  [warning] Retries: 1 / 20 - [2025-08-08 16:20:27]
⚠️  [warning] Retries: 2 / 20 - [2025-08-08 16:20:28]
⚠️  [warning] Retries: 3 / 20 - [2025-08-08 16:20:29]
⚠️  [warning] Retries: 4 / 20 - [2025-08-08 16:20:30]
⚠️  [warning] Retries: 5 / 20 - [2025-08-08 16:20:31]
⚠️  [warning] Retries: 6 / 20 - [2025-08-08 16:20:32]
⚠️  [warning] Retries: 7 / 20 - [2025-08-08 16:20:33]
⚠️  [warning] Retries: 8 / 20 - [2025-08-08 16:20:34]
⚠️  [warning] Retries: 9 / 20 - [2025-08-08 16:20:35]
⚠️  [warning] Retries: 10 / 20 - [2025-08-08 16:20:36]
⚠️  [warning] Retries: 11 / 20 - [2025-08-08 16:20:37]
⚠️  [warning] Retries: 12 / 20 - [2025-08-08 16:20:38]
⚠️  [warning] Retries: 13 / 20 - [2025-08-08 16:20:39]
⚠️  [warning] Retries: 14 / 20 - [2025-08-08 16:20:40]
⚠️  [warning] Retries: 15 / 20 - [2025-08-08 16:20:41]
⚠️  [warning] Retries: 16 / 20 - [2025-08-08 16:20:42]
⚠️  [warning] Retries: 17 / 20 - [2025-08-08 16:20:43]
